,latitude,longitude
78795,32.801389,67.746389
78806,32.475624,67.61425
78822,31.550039,65.45263
78823,34.516895,69.147011
78842,34.824077,70.360692
78854,31.60063,64.369652
78868,32.666404,65.903629
78889,32.495328,62.262663
78899,31.825871,64.576431
78900,33.335258,69.928467
78901,31.825871,64.576431
78907,32.100204,66.901016
78937,32.927129,66.141526
78938,32.927129,66.141526
78951,31.1225,64.204722
78953,34.516895,69.147011
78960,34.417122,70.449593
78963,34.516895,69.147011
78993,32.405702,64.470381
79000,31.617667,65.675942
79001,34.875656,71.152008
79003,34.516895,69.147011
79012,34.875656,71.152008
79036,31.617667,65.675942
79047,31.617667,65.675942
79048,29.4371,64.038418
79049,31.617667,65.675942
79050,31.617667,65.675942
79055,34.516895,69.147011
79078,31.363647,63.958611
79079,34.846589,71.097317
79088,32.153782,66.269447
79089,31.550039,65.45263
79109,31.61299,65.761013
79111,33.335258,69.928467
79113,33.436221,69.031746
79119,37.10783,70.567558
79122,34.357397,70.225507
79131,31.617667,65.675942
79133,33.652778,69.136111
79139,34.014552,69.192392
79140,31.382116,64.348244
79169,31.60063,64.369652
79181,32.191878,67.189449
79184,33.509963,70.121765
79185,31.363647,63.958611
79188,32.073333,64.833889
79190,34.516895,69.147011
79191,34.516895,69.147011
79199,31.617667,65.675942
79211,31.825871,64.576431
79212,31.026149,62.450415
79219,32.861304,67.180975
79220,32.861304,67.180975
79237,32.074078,66.141526
79238,32.405702,64.470381
79248,31.64,64.24
79264,31.13251,64.2129
79265,32.50368,67.475491
79266,33.319571,68.451297
79278,37.10783,70.567558
79283,33.498229,67.761598
79286,31.67288,64.309987
79293,31.60063,64.369652
79297,32.073333,64.833889
79320,31.550039,65.45263
79327,32.507639,63.769538
79332,31.972643,67.375665
79335,31.631083,65.742226
79342,31.1225,64.204722
79349,32.37001,62.128456
79362,31.363647,63.958611
79371,32.259699,67.09412
79382,32.666404,65.903629
79393,34.417122,70.449593
79398,31.617667,65.675942
79400,31.631083,65.742226
79415,30.996068,65.475736
79416,33.358508,69.859741
79420,31.631083,65.742226
79421,31.002735,66.405617
79463,33.319571,68.451297
79495,31.363647,63.9586
79546,31.631083,65.742226
79547,34.516895,69.147011
79567,34.674866,70.21344
79578,31.389315,64.315166
79582,31.825871,64.576431
79632,33.509963,70.121765
79673,32.323203,64.811084
79674,32.073333,64.833889
79690,34.187222,70.823056
79694,31.631083,65.742226
79704,31.60063,64.369652
79716,32.270119,65.049683
79719,31.78801,65.570785
79721,36.70993,67.1157
79733,32.625149,62.479768
79734,31.631083,65.742226
79735,31.002735,66.405617
79813,35.081111,69.194167
79818,32.747617,67.60778
79828,32.447036,62.139911
79831,33.335258,69.928467
79848,33.340062,69.923528
79858,30.280606,62.054597
79859,33.319571,68.451297
79861,31.499713,65.000854
79904,34.516895,69.147011
79906,31.64,64.24
79907,34.157052,70.607992
79936,31.64,64.24
79972,31.389315,64.315166
80014,33.315169,69.698906
80015,32.37001,62.128456
80018,36.734714,68.868821
80037,31.622827,62.869366
80082,31.617667,65.675942
80096,31.363647,63.9586
80119,34.516895,69.147011
80151,33.319571,68.451297
80154,32.323203,64.811084
80174,31.825871,64.576431
80187,37.069618,69.420952
80204,31.13251,64.2129
80234,34.516895,69.147011
80237,32.3748,62.11572
80264,34.511111,70.187222
80265,33.378897,69.412871
80268,32.307608,67.20901
80290,32.164997,63.425297
80300,33.542622,68.415329
80310,32.816136,67.762998
80318,34.346722,62.197315
80319,34.346722,62.197315
80326,34.516895,69.147011
80327,37.181767,68.911301
80333,36.780495,68.867142
80335,32.50766,68.714964
80356,33.271667,69.778611
80357,32.715785,69.281793
80358,33.049781,68.655151
80368,34.346722,62.197315
80375,32.927878,69.378619
80390,35.221192,71.049777
80396,31.705032,65.689628
80397,35.167134,63.769538
80428,34.875656,71.152008
80433,34.417122,70.449593
80455,34.78337,70.107955
80467,34.516895,69.147011
80471,33.189931,69.259101
80490,31.640278,65.3975
80506,31.611895,65.681098
80545,33.076111,65.089722
80561,31.558611,65.329167
80563,32.191878,67.189449
80565,32.074078,66.141526
80570,31.617667,65.675942
80578,34.783408,70.108
80583,33.076111,65.089722
80584,33.25,67.583333
80585,31.484424,65.626446
80586,32.600288,67.495324
80587,33.069497,68.326942
80593,31.617667,65.675942
80603,34.516895,69.147011
80612,32.666404,65.903629
80613,32.37001,62.128456
80614,34.417122,70.449593
80620,31.825871,64.576431
80625,31.825871,64.576431
80632,32.270119,65.049683
80641,32.50281,67.415452
80646,31.60063,64.369652
80648,34.975242,69.573279
80662,33.111784,68.041416
80674,34.341943,62.203057
80694,35.804295,69.287754
80695,31.583071,64.369175
80712,31.583227,65.810333
80718,34.361059,68.840693
80720,33.542622,68.415329
80721,34.346722,62.197315
80728,36.928739,70.343248
80740,33.542622,68.415329
80741,33.266693,62.356516
80742,34.516895,69.147011
80749,34.346722,62.197315
80750,34.229213,70.193208
80751,34.662222,70.201389
80758,32.603077,64.890852
80760,33.5675,64.424444
80764,31.363647,63.9586
80765,34.846566,71.097269
80766,33.36454,68.404213
80767,34.516895,69.147011
80771,33.193665,68.102002
80772,33.109734,68.302658
80779,31.750286,67.316571
80780,32.716411,67.444448
80781,32.100204,66.901016
80800,31.363647,63.9586
80801,32.270119,65.049683
80808,32.37001,62.128456
80812,31.617667,65.675942
80818,31.617667,65.675942
80826,34.229213,70.193208
80828,34.119679,68.58802
80836,33.319571,68.451297
80839,31.617667,65.675942
80848,33.598633,69.228996
80862,30.959932,61.86895
80864,32.50368,67.475491
80878,32.050438,65.252094
80894,33.566561,69.878354
80896,32.264539,68.524715
80912,36.705776,68.87706
80925,36.70993,67.1157
80926,33.049781,68.655151
80927,35.95,68.7
80932,32.405702,64.470381
80933,33.598633,69.228996
80934,32.965394,68.559968
80950,33.55,68.416667
80951,34.346722,62.197315
80952,31.617667,65.675942
80953,34.880556,70.896111
80974,34.516895,69.147011
80975,34.516895,69.147011
80991,32.37001,62.128456
80992,34.516895,69.147011
80993,34.516895,69.147011
81013,35.002193,71.406188
81014,33.076111,65.089722
81015,30.550198,63.78606
81016,31.825871,64.576431
81040,33.449841,70.064041
81041,35.95,68.7
81076,34.516895,69.147011
81080,33.1782,68.752533
81095,31.78801,65.570785
